PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HUN,1,f,1994,1994,3,O,56189,NA,NA,NA,1
HUN,1,m,1994,1994,3,O,59409,NA,NA,NA,1
HUN,1,f,1995,1995,3,O,54498,NA,NA,NA,1
HUN,1,m,1995,1995,3,O,57556,NA,NA,NA,1
HUN,1,f,1996,1996,3,O,51084,NA,NA,NA,1
HUN,1,m,1996,1996,3,O,54188,NA,NA,NA,1
HUN,1,f,1997,1997,3,O,48443,NA,NA,NA,1
HUN,1,m,1997,1997,3,O,51907,NA,NA,NA,1
HUN,1,f,1998,1998,3,O,47345,NA,NA,NA,1
HUN,1,m,1998,1998,3,O,49956,NA,NA,NA,1
HUN,1,f,1999,1999,3,O,45749,NA,NA,NA,1
HUN,1,m,1999,1999,3,O,48896,NA,NA,NA,1
HUN,1,f,2000,2000,4,O,47355,NA,NA,NA,1
HUN,1,m,2000,2000,4,O,50242,NA,NA,NA,1
HUN,1,f,2001,2001,4,O,47013,NA,NA,NA,1
HUN,1,m,2001,2001,4,O,50034,NA,NA,NA,1
HUN,1,f,2002,2002,4,O,47109,NA,NA,NA,1
HUN,1,m,2002,2002,4,O,49695,NA,NA,NA,1
HUN,1,f,2003,2003,8,O,45784,NA,NA,NA,1
HUN,1,m,2003,2003,8,O,48863,NA,NA,NA,1
HUN,1,f,2004,2004,8,O,46359,NA,NA,NA,1
HUN,1,m,2004,2004,8,O,48778,NA,NA,NA,1
HUN,1,f,2005,2005,8,O,47169,NA,NA,NA,1
HUN,1,m,2005,2005,8,O,50327,NA,NA,NA,1
HUN,1,f,2006,2006,15,O,48755,NA,NA,NA,1
HUN,1,m,2006,2006,15,O,51116,NA,NA,NA,1
HUN,1,f,2007,2007,15,O,47580,NA,NA,NA,1
HUN,1,m,2007,2007,15,O,50033,NA,NA,NA,1
HUN,1,f,2008,2008,18,O,48326,NA,NA,NA,1
HUN,1,m,2008,2008,18,O,50823,NA,NA,NA,1
HUN,1,f,2009,2009,18,O,46877,NA,NA,NA,1
HUN,1,m,2009,2009,18,O,49565,NA,NA,NA,1
