PopName,Area,Sex,Year,YearReg,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
HUN,01,f,1987,1987,3,O,61261,.,.,.,1
HUN,01,f,1988,1988,3,O,60506,.,.,.,1
HUN,01,f,1989,1989,3,O,60008,.,.,.,1
HUN,01,f,1990,1990,3,O,61463,.,.,.,1
HUN,01,f,1991,1991,3,O,62100,.,.,.,1
HUN,01,f,1992,1992,3,O,59210,.,.,.,1
HUN,01,f,1993,1993,3,O,56996,.,.,.,1
HUN,01,f,1994,1994,3,O,56189,.,.,.,1
HUN,01,f,1995,1995,3,O,54498,.,.,.,1
HUN,01,f,1996,1996,3,O,51084,.,.,.,1
HUN,01,f,1997,1997,3,O,48443,.,.,.,1
HUN,01,f,1998,1998,3,O,47345,.,.,.,1
HUN,01,f,1999,1999,3,O,45749,.,.,.,1
HUN,01,f,2000,2000,4,O,47355,.,.,.,1
HUN,01,f,2001,2001,4,O,47013,.,.,.,1
HUN,01,f,2002,2002,4,O,47109,.,.,.,1
HUN,01,f,2003,2003,8,O,45784,.,.,.,1
HUN,01,f,2004,2004,8,O,46359,.,.,.,1
HUN,01,f,2005,2005,8,O,47169,.,.,.,1
HUN,01,f,2006,2006,15,O,48755,.,.,.,1
HUN,01,m,2007,2007,15,O,50033,.,.,.,1
HUN,01,f,2007,2007,15,O,47580,.,.,.,1
HUN,01,m,2008,2008,18,O,50823,.,.,.,1
HUN,01,f,2008,2008,18,O,48326,.,.,.,1
HUN,01,m,2009,2009,18,O,49565,.,.,.,1
HUN,01,f,2009,2009,18,O,46877,.,.,.,1
